"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031175","GO:0031175","neuron projection development","53/541","449/10683",5.70974910675099e-09,5.70974910675099e-09,1.05980957104255e-06,"D/fz/gt/kay/kn/Lim3/pk/rut/ttk/ptc/tup/hid/Ten-m/mew/pros/rho/N/sim/tok/dac/Con/trn/Wnt4/Spn/Ret/beat-Ia/NetB/caps/beat-Ic/beat-Ib/SoxN/erm/beat-IIIc/Dscam1/Mmp2/ckn/Hr51/unc-5/Toll-7/beat-IIb/beat-IIa/beat-VI/DIP-gamma/dlp/Trim9/dpr11/vvl/mfas/Dscam3/haf/pdm3/Sema2b/stai",53
"GO:0098742","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","18/541","70/10683",7.17542262446089e-09,7.17542262446089e-09,1.22940844318698e-06,"ed/fz/rst/mew/Con/Lac/beat-Ia/caps/sns/beat-Ic/beat-Ib/beat-IIIc/beat-IIb/beat-IIa/beat-VI/beat-VII/Dscam3/kug",18
"GO:0001708","GO:0001708","cell fate specification","21/541","98/10683",1.3922925508339e-08,1.3922925508339e-08,2.2136496123088e-06,"bi/ed/tj/fz/hth/kn/numb/tld/ttk/tup/rho/N/ey/sv/dac/byn/melt/gbb/pyr/kibra/rn",21
"GO:0048667","GO:0048667","cell morphogenesis involved in neuron differentiation","49/541","410/10683",1.49076119921552e-08,1.49076119921552e-08,2.2136496123088e-06,"D/fz/gt/kay/kn/Lim3/pk/rut/ptc/tup/hid/Ten-m/mew/pros/rho/N/sim/tok/dac/trn/Wnt4/beat-Ia/cnn/NetB/caps/beat-Ic/beat-Ib/SoxN/erm/beat-IIIc/Dscam1/Mmp2/ckn/Hr51/unc-5/Toll-7/beat-IIb/beat-IIa/beat-VI/DIP-gamma/dlp/Trim9/dpr11/vvl/mfas/Dscam3/haf/pdm3/Sema2b",49
"GO:0000904","GO:0000904","cell morphogenesis involved in differentiation","52/541","452/10683",1.92812820839692e-08,1.92812820839692e-08,2.68415742695256e-06,"D/fz/gt/kay/kn/Lim3/pk/rut/tsl/ptc/tup/hid/Ten-m/mew/pros/rho/N/sim/tok/dac/trn/Wnt4/beat-Ia/cnn/NetB/caps/beat-Ic/beat-Ib/SoxN/erm/beat-IIIc/Dscam1/Mmp2/ckn/Hr51/unc-5/Toll-7/beat-IIb/beat-IIa/beat-VI/DIP-gamma/dlp/Trim9/dpr11/vvl/mfas/Dscam3/Ppcs/haf/pdm3/Sema2b/Fhos",52
"GO:0030534","GO:0030534","adult behavior","26/541","150/10683",2.95452504665774e-08,2.95452504665774e-08,3.87106811066736e-06,"eag/ort/Poxn/rut/rho/sim/ey/ple/Nmdar1/Crz/apt/Spn27A/CCKLR-17D3/Trpgamma/sNPF/twz/FMRFaR/Dysb/Orco/Tk/dpr9/HEATR2/pxb/nAChRalpha7/TfAP-2/MsR2",26
"GO:0048812","GO:0048812","neuron projection morphogenesis","48/541","415/10683",5.93604704464699e-08,5.93604704464699e-08,7.17622299877213e-06,"D/fz/gt/kay/kn/Lim3/pk/rut/ptc/tup/hid/Ten-m/mew/pros/rho/N/sim/tok/dac/trn/Wnt4/beat-Ia/NetB/caps/beat-Ic/beat-Ib/SoxN/erm/beat-IIIc/Dscam1/Mmp2/ckn/Hr51/unc-5/Toll-7/beat-IIb/beat-IIa/beat-VI/DIP-gamma/dlp/Trim9/dpr11/vvl/mfas/Dscam3/haf/pdm3/Sema2b",48
"GO:0098609","GO:0098609","cell-cell adhesion","24/541","135/10683",6.12149457125883e-08,6.12149457125883e-08,7.17622299877213e-06,"bib/ed/CG17716/fz/rst/Ten-m/mew/N/Con/Lac/beat-Ia/caps/sns/beat-Ic/beat-Ib/hbs/beat-IIIc/beat-IIb/beat-IIa/beat-VI/beat-VII/Dscam3/kug/CG45263",24
"GO:0048858","GO:0048858","cell projection morphogenesis","48/541","417/10683",6.89513540314435e-08,6.89513540314435e-08,7.31333659802178e-06,"D/fz/gt/kay/kn/Lim3/pk/rut/ptc/tup/hid/Ten-m/mew/pros/rho/N/sim/tok/dac/trn/Wnt4/beat-Ia/NetB/caps/beat-Ic/beat-Ib/SoxN/erm/beat-IIIc/Dscam1/Mmp2/ckn/Hr51/unc-5/Toll-7/beat-IIb/beat-IIa/beat-VI/DIP-gamma/dlp/Trim9/dpr11/vvl/mfas/Dscam3/haf/pdm3/Sema2b",48
"GO:0120039","GO:0120039","plasma membrane bounded cell projection morphogenesis","48/541","417/10683",6.89513540314435e-08,6.89513540314435e-08,7.31333659802178e-06,"D/fz/gt/kay/kn/Lim3/pk/rut/ptc/tup/hid/Ten-m/mew/pros/rho/N/sim/tok/dac/trn/Wnt4/beat-Ia/NetB/caps/beat-Ic/beat-Ib/SoxN/erm/beat-IIIc/Dscam1/Mmp2/ckn/Hr51/unc-5/Toll-7/beat-IIb/beat-IIa/beat-VI/DIP-gamma/dlp/Trim9/dpr11/vvl/mfas/Dscam3/haf/pdm3/Sema2b",48
"GO:0032990","GO:0032990","cell part morphogenesis","48/541","424/10683",1.15332562693174e-07,1.15332562693174e-07,1.16767321846295e-05,"D/fz/gt/kay/kn/Lim3/pk/rut/ptc/tup/hid/Ten-m/mew/pros/rho/N/sim/tok/dac/trn/Wnt4/beat-Ia/NetB/caps/beat-Ic/beat-Ib/SoxN/erm/beat-IIIc/Dscam1/Mmp2/ckn/Hr51/unc-5/Toll-7/beat-IIb/beat-IIa/beat-VI/DIP-gamma/dlp/Trim9/dpr11/vvl/mfas/Dscam3/haf/pdm3/Sema2b",48
"GO:0007157","GO:0007157","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","10/541","25/10683",1.67532709115141e-07,1.67532709115141e-07,1.62242202511505e-05,"mew/beat-Ia/sns/beat-Ic/beat-Ib/beat-IIIc/beat-IIb/beat-IIa/beat-VI/beat-VII",10
"GO:0007188","GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","15/541","60/10683",1.95062968819744e-07,1.95062968819744e-07,1.81032123694113e-05,"rut/Galphaf/Dop1R1/hec/Dh31/Dh44-R2/TyrR/Octalpha2R/Octbeta1R/CG12290/Octbeta3R/Pdfr/CG43373/MsR2/Dop1R2",15
"GO:0060562","GO:0060562","epithelial tube morphogenesis","48/541","438/10683",3.08802282715387e-07,3.08802282715387e-07,2.75126581147688e-05,"arr/bi/Pka-C3/ed/fkh/fz/grk/hth/kay/kn/pk/Poxn/tld/ttk/ptc/hid/mew/zfh2/rho/N/tok/ey/dac/hdc/trn/heph/byn/jumu/vri/caps/gbb/brk/Mmp2/Cyp301a1/Hr51/MYPT-75D/dlp/GEFmeso/form3/Myo31DF/Nost/Ppcs/CG42674/TfAP-2/trh/Fhos/rn/otk2",48
"GO:0035239","GO:0035239","tube morphogenesis","50/541","478/10683",7.17822814417486e-07,7.17822814417486e-07,6.14944564901781e-05,"arr/bi/D/Pka-C3/ed/fkh/fz/grk/hth/kay/kn/pk/Poxn/tld/ttk/ptc/hid/mew/zfh2/rho/N/tok/ey/dac/hdc/trn/heph/byn/jumu/vri/caps/gbb/brk/Mmp2/Cyp301a1/Hr51/MYPT-75D/dlp/GEFmeso/form3/Myo31DF/Nost/Ppcs/CG42674/kug/TfAP-2/trh/Fhos/rn/otk2",50
"GO:0019098","GO:0019098","reproductive behavior","23/541","145/10683",9.58555734223552e-07,9.58555734223552e-07,7.90761767492022e-05,"eag/Poxn/rut/Btk29A/pros/ple/Acp36DE/Crz/tilB/mGluR/Oamb/hec/Dh31/Gadd45/twz/Orcokinin/Ilp2/Dysb/lectin-46Cb/lectin-46Ca/loj/TfAP-2/mbl",23
"GO:0007600","GO:0007600","sensory perception","39/541","338/10683",1.15570271072152e-06,1.15570271072152e-06,9.19348472137872e-05,"eag/mew/pros/inaC/Galphaf/Nmdar1/Obp83a/tilB/Dyrk2/cry/Or7a/dpr18/Trpgamma/Dscam1/Or45a/CAP/dpr13/Obp56a/dpr20/Rh7/dpr16/Orco/Or85f/Tk/dpr9/sosie/Or98a/Obp99c/Obp56i/SKIP/HEATR2/dpr17/dpr10/dpr11/stops/rdgA/pdm3/rdgC/Ggamma30A",39
"GO:0048736","GO:0048736","appendage development","37/541","324/10683",2.79982566603048e-06,2.79982566603048e-06,0.000215042871481687,"arr/bi/D/Pka-C3/ed/fz/grk/hth/kn/pk/Poxn/tld/ptc/hid/mew/zfh2/rho/N/tok/dac/heph/jumu/vri/gbb/brk/Hr51/MYPT-75D/danr/dlp/GEFmeso/Nost/Ppcs/CG42674/TfAP-2/trh/Fhos/rn",37
"GO:0007617","GO:0007617","mating behavior","21/541","134/10683",3.46338770467796e-06,3.46338770467796e-06,0.000248339346609397,"eag/Poxn/rut/Btk29A/pros/ple/Acp36DE/Crz/tilB/mGluR/Oamb/hec/Dh31/twz/Orcokinin/Ilp2/Dysb/lectin-46Cb/lectin-46Ca/TfAP-2/mbl",21
"GO:0016477","GO:0016477","cell migration","35/541","301/10683",3.47050344470692e-06,3.47050344470692e-06,0.000248339346609397,"tj/fz/grk/kay/numb/sr/ttk/ptc/mew/N/inaC/ey/ple/trn/Wnt4/byn/NetB/apt/caps/Semp1/Dscam1/Mmp2/pyr/unc-5/sosie/dlp/Krn/Pvf3/Invadolysin/Ppcs/CG42674/kug/kibra/Fhos/stai",35
"GO:0009886","GO:0009886","post-embryonic animal morphogenesis","45/541","435/10683",3.56782426130702e-06,3.56782426130702e-06,0.000248339346609397,"arr/bi/D/Pka-C3/ed/fkh/fz/grk/hth/kay/kn/pk/Poxn/tld/ptc/hid/mew/zfh2/rho/N/tok/ey/dac/hdc/trn/heph/jumu/vri/caps/gbb/brk/Mmp2/Cyp301a1/Hr51/MYPT-75D/dlp/GEFmeso/Myo31DF/Nost/Ppcs/CG42674/TfAP-2/Fhos/rn/otk2",45
"GO:0007423","GO:0007423","sensory organ development","47/541","464/10683",3.84235911948493e-06,3.84235911948493e-06,0.000257238293649523,"a/arr/bi/ed/fz/hth/kay/numb/pk/Poxn/rst/tld/ttk/ptc/tup/ush/Ten-m/pros/rho/N/ey/sv/dac/msi/beat-Ia/klu/jumu/NetB/vri/toy/melt/sns/gbb/eys/sano/danr/dlp/RacGAP84C/Trim9/Krn/rdo/Ppcs/kibra/jv/rdx/mbl/rn",47
"GO:0007189","GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway","11/541","41/10683",4.00246404882736e-06,4.00246404882736e-06,0.000257238293649523,"rut/Galphaf/Dop1R1/Dh31/TyrR/Octbeta1R/CG12290/Octbeta3R/Pdfr/CG43373/Dop1R2",11
"GO:0035107","GO:0035107","appendage morphogenesis","36/541","316/10683",4.04214237421864e-06,4.04214237421864e-06,0.000257238293649523,"arr/bi/D/Pka-C3/ed/fz/grk/hth/kn/pk/Poxn/tld/ptc/hid/mew/zfh2/rho/N/tok/dac/heph/jumu/vri/gbb/brk/Hr51/MYPT-75D/danr/dlp/GEFmeso/Nost/Ppcs/CG42674/TfAP-2/Fhos/rn",36
"GO:0007560","GO:0007560","imaginal disc morphogenesis","40/541","376/10683",6.44627222369078e-06,6.44627222369078e-06,0.000388060086069124,"arr/bi/Pka-C3/ed/fz/grk/hth/kay/kn/pk/Poxn/tld/ptc/hid/mew/zfh2/rho/N/tok/ey/dac/heph/jumu/vri/gbb/brk/Mmp2/Cyp301a1/Hr51/MYPT-75D/dlp/GEFmeso/Myo31DF/Nost/Ppcs/CG42674/TfAP-2/Fhos/rn/otk2",40
"GO:0048563","GO:0048563","post-embryonic animal organ morphogenesis","40/541","376/10683",6.44627222369078e-06,6.44627222369078e-06,0.000388060086069124,"arr/bi/Pka-C3/ed/fz/grk/hth/kay/kn/pk/Poxn/tld/ptc/hid/mew/zfh2/rho/N/tok/ey/dac/heph/jumu/vri/gbb/brk/Mmp2/Cyp301a1/Hr51/MYPT-75D/dlp/GEFmeso/Myo31DF/Nost/Ppcs/CG42674/TfAP-2/Fhos/rn/otk2",40
"GO:0007619","GO:0007619","courtship behavior","15/541","78/10683",6.87565851643149e-06,6.87565851643149e-06,0.00040301643824845,"eag/Poxn/rut/Btk29A/pros/ple/Crz/tilB/mGluR/Oamb/hec/Dh31/twz/Orcokinin/TfAP-2",15
"GO:0001654","GO:0001654","eye development","40/541","381/10683",8.86826552921822e-06,8.86826552921822e-06,0.000474864167722468,"a/arr/bi/ed/fz/hth/kay/pk/rst/tld/ttk/ptc/ush/Ten-m/pros/rho/N/ey/sv/dac/msi/beat-Ia/klu/jumu/NetB/toy/melt/sns/gbb/eys/sano/danr/dlp/RacGAP84C/Trim9/Krn/kibra/rdx/mbl/rn",40
"GO:0048880","GO:0048880","sensory system development","40/541","381/10683",8.86826552921822e-06,8.86826552921822e-06,0.000474864167722468,"a/arr/bi/ed/fz/hth/kay/pk/rst/tld/ttk/ptc/ush/Ten-m/pros/rho/N/ey/sv/dac/msi/beat-Ia/klu/jumu/NetB/toy/melt/sns/gbb/eys/sano/danr/dlp/RacGAP84C/Trim9/Krn/kibra/rdx/mbl/rn",40
"GO:0150063","GO:0150063","visual system development","40/541","381/10683",8.86826552921822e-06,8.86826552921822e-06,0.000474864167722468,"a/arr/bi/ed/fz/hth/kay/pk/rst/tld/ttk/ptc/ush/Ten-m/pros/rho/N/ey/sv/dac/msi/beat-Ia/klu/jumu/NetB/toy/melt/sns/gbb/eys/sano/danr/dlp/RacGAP84C/Trim9/Krn/kibra/rdx/mbl/rn",40
"GO:0035114","GO:0035114","imaginal disc-derived appendage morphogenesis","35/541","314/10683",8.95419673540949e-06,8.95419673540949e-06,0.000474864167722468,"arr/bi/Pka-C3/ed/fz/grk/hth/kn/pk/Poxn/tld/ptc/hid/mew/zfh2/rho/N/tok/dac/heph/jumu/vri/gbb/brk/Hr51/MYPT-75D/danr/dlp/GEFmeso/Nost/Ppcs/CG42674/TfAP-2/Fhos/rn",35
"GO:0048665","GO:0048665","neuron fate specification","9/541","30/10683",1.12643988920516e-05,1.12643988920516e-05,0.000583487590099905,"fz/tld/tup/N/ey/dac/melt/gbb/kibra",9
"GO:0050808","GO:0050808","synapse organization","33/541","293/10683",1.3022456325491e-05,1.3022456325491e-05,0.000659222908725815,"kay/rut/Ten-m/Fur1/pros/Spn/lbm/mGluR/caps/gbb/dpr18/dpr13/dpr20/Dysb/cmpy/dpr16/dpr9/Octbeta1R/DIP-gamma/ppk30/dlp/metro/dpr17/CG31475/DIP-theta/DIP-zeta/DIP-kappa/dpr10/dpr11/CG42673/Tl/Neto/stai",33
"GO:0048737","GO:0048737","imaginal disc-derived appendage development","35/541","321/10683",1.45010381167066e-05,1.45010381167066e-05,0.000717758986080731,"arr/bi/Pka-C3/ed/fz/grk/hth/kn/pk/Poxn/tld/ptc/hid/mew/zfh2/rho/N/tok/dac/heph/jumu/vri/gbb/brk/Hr51/MYPT-75D/danr/dlp/GEFmeso/Nost/Ppcs/CG42674/TfAP-2/Fhos/rn",35
"GO:0048749","GO:0048749","compound eye development","38/541","362/10683",1.49707839880778e-05,1.49707839880778e-05,0.000724901119422712,"a/arr/bi/ed/fz/hth/kay/pk/rst/tld/ttk/ush/Ten-m/pros/rho/N/ey/sv/dac/msi/klu/jumu/NetB/toy/melt/sns/gbb/eys/sano/danr/dlp/RacGAP84C/Trim9/Krn/kibra/rdx/mbl/rn",38
"GO:0034330","GO:0034330","cell junction organization","38/541","363/10683",1.59415577343369e-05,1.59415577343369e-05,0.000755483452762753,"kay/rut/Ten-m/Fur1/pros/Lac/Spn/lbm/mGluR/caps/sns/gbb/dpr18/Mmp2/dpr13/dpr20/Dysb/cmpy/dpr16/dpr9/Octbeta1R/DIP-gamma/ppk30/dlp/metro/mesh/dpr17/CG31475/DIP-theta/DIP-zeta/DIP-kappa/dpr10/dpr11/Nost/CG42673/Tl/Neto/stai",38
"GO:0048569","GO:0048569","post-embryonic animal organ development","44/541","447/10683",1.63270853715828e-05,1.63270853715828e-05,0.000757634049260292,"arr/bi/Pka-C3/ed/fz/grk/hth/kay/kn/pk/Poxn/tld/ptc/ush/hid/mew/zfh2/rho/N/tok/ey/dac/heph/jumu/vri/sns/gbb/brk/Mmp2/pyr/Cyp301a1/Hr51/MYPT-75D/dlp/GEFmeso/Myo31DF/Nost/Ppcs/CG42674/TfAP-2/Tl/Fhos/rn/otk2",44
"GO:0048707","GO:0048707","instar larval or pupal morphogenesis","42/541","421/10683",1.8527985126238e-05,1.8527985126238e-05,0.000842217326039087,"arr/bi/Pka-C3/ed/fkh/fz/grk/hth/kay/kn/pk/Poxn/tld/ptc/hid/mew/zfh2/rho/N/tok/ey/dac/hdc/heph/jumu/vri/gbb/brk/Mmp2/Cyp301a1/Hr51/MYPT-75D/dlp/GEFmeso/Myo31DF/Nost/Ppcs/CG42674/TfAP-2/Fhos/rn/otk2",42
"GO:0048870","GO:0048870","cell motility","37/541","359/10683",2.90756769104339e-05,2.90756769104339e-05,0.00129524489142059,"tj/fz/grk/kay/numb/sr/ttk/ptc/mew/N/inaC/ey/ple/trn/Wnt4/byn/tilB/NetB/apt/caps/Semp1/Dscam1/Mmp2/pyr/unc-5/sosie/dlp/HEATR2/Krn/Pvf3/Invadolysin/Ppcs/CG42674/kug/kibra/Fhos/stai",37
"GO:0035120","GO:0035120","post-embryonic appendage morphogenesis","33/541","305/10683",2.98182588014539e-05,2.98182588014539e-05,0.00130227937304183,"arr/bi/D/Pka-C3/ed/fz/grk/hth/kn/pk/Poxn/tld/ptc/mew/zfh2/rho/N/tok/heph/jumu/vri/gbb/brk/Hr51/MYPT-75D/dlp/GEFmeso/Nost/Ppcs/CG42674/TfAP-2/Fhos/rn",33
"GO:0016200","GO:0016200","synaptic target attraction","4/541","5/10683",3.12299260857291e-05,3.12299260857291e-05,0.00133770290683002,"Ten-m/Con/NetB/Sema2b",4
"GO:0045165","GO:0045165","cell fate commitment","33/541","307/10683",3.40395268867129e-05,3.40395268867129e-05,0.00142027219399948,"bi/ed/tj/fz/hth/kay/kn/numb/tld/tsl/ttk/ptc/tup/pros/rho/N/sim/ey/sv/dac/Wnt4/msi/byn/klu/cnn/melt/gbb/hdm/Mmp2/pyr/kibra/trh/rn",33
"GO:0008277","GO:0008277","regulation of G protein-coupled receptor signaling pathway","9/541","34/10683",3.44328750246567e-05,3.44328750246567e-05,0.00142027219399948,"inaC/Lrpprc2/twz/TyrR/CG32683/stops/rdgA/TfAP-2/rdgC",9
"GO:0008038","GO:0008038","neuron recognition","17/541","110/10683",3.52796863065625e-05,3.52796863065625e-05,0.00142874289425237,"Ten-m/mew/Fur1/tok/Con/Wnt4/beat-Ia/NetB/beat-Ic/beat-IIIc/Dscam1/Mmp2/Trim9/Pvf3/Dscam3/Tl/Sema2b",17
"GO:0008037","GO:0008037","cell recognition","17/541","114/10683",5.62943270427255e-05,5.62943270427255e-05,0.00223907511320314,"Ten-m/mew/Fur1/tok/Con/Wnt4/beat-Ia/NetB/beat-Ic/beat-IIIc/Dscam1/Mmp2/Trim9/Pvf3/Dscam3/Tl/Sema2b",17
"GO:0007552","GO:0007552","metamorphosis","42/541","442/10683",5.82500371228228e-05,5.82500371228228e-05,0.00227621567039507,"arr/bi/Pka-C3/ed/fkh/fz/grk/hth/kay/kn/pk/Poxn/tld/ptc/hid/mew/zfh2/rho/N/tok/ey/dac/hdc/heph/jumu/vri/gbb/brk/Mmp2/Cyp301a1/Hr51/MYPT-75D/dlp/GEFmeso/Myo31DF/Nost/Ppcs/CG42674/TfAP-2/Fhos/rn/otk2",42
"GO:0007476","GO:0007476","imaginal disc-derived wing morphogenesis","29/541","262/10683",5.98000347339568e-05,5.98000347339568e-05,0.00229649498179769,"arr/bi/Pka-C3/ed/fz/grk/hth/kn/pk/Poxn/tld/ptc/mew/zfh2/rho/N/tok/heph/jumu/vri/gbb/brk/Hr51/MYPT-75D/dlp/GEFmeso/Nost/Ppcs/Fhos",29
"GO:0071875","GO:0071875","adrenergic receptor signaling pathway","5/541","10/10683",6.66365429887369e-05,6.66365429887369e-05,0.00247373552568715,"TyrR/Octbeta1R/CG12290/Octbeta3R/Dop1R2",5
"GO:0071880","GO:0071880","adenylate cyclase-activating adrenergic receptor signaling pathway","5/541","10/10683",6.66365429887369e-05,6.66365429887369e-05,0.00247373552568715,"TyrR/Octbeta1R/CG12290/Octbeta3R/Dop1R2",5
"GO:0048663","GO:0048663","neuron fate commitment","15/541","94/10683",6.91596548571656e-05,6.91596548571656e-05,0.00251890325080061,"fz/hth/kay/tld/ttk/tup/pros/rho/N/ey/dac/msi/melt/gbb/kibra",15
"GO:0007606","GO:0007606","sensory perception of chemical stimulus","27/541","238/10683",7.01150290511134e-05,7.01150290511134e-05,0.00251890325080061,"eag/mew/pros/Galphaf/Obp83a/Dyrk2/Or7a/dpr18/Or45a/dpr13/Obp56a/dpr20/dpr16/Orco/Or85f/Tk/dpr9/Or98a/Obp99c/Obp56i/SKIP/dpr17/dpr10/dpr11/rdgA/pdm3/Ggamma30A",27
"GO:0007431","GO:0007431","salivary gland development","17/541","117/10683",7.86526759603307e-05,7.86526759603307e-05,0.00273732010414572,"fkh/fz/gt/hth/Btk29A/hid/mew/rho/hdc/trn/Wnt4/NetB/caps/unc-5/kug/trh/Fhos",17
"GO:0035272","GO:0035272","exocrine system development","17/541","117/10683",7.86526759603307e-05,7.86526759603307e-05,0.00273732010414572,"fkh/fz/gt/hth/Btk29A/hid/mew/rho/hdc/trn/Wnt4/NetB/caps/unc-5/kug/trh/Fhos",17
"GO:0048732","GO:0048732","gland development","22/541","177/10683",8.52892906838857e-05,8.52892906838857e-05,0.00292262573420408,"fkh/fz/gt/hth/kn/Btk29A/tup/ush/hid/mew/rho/N/hdc/trn/Wnt4/NetB/caps/pyr/unc-5/kug/trh/Fhos",22
